#{"t_start": 1776775575.957281, "env_id": "None"}
r,l,t,is_success,dist_error,q_diff_closest,q_diff_active,curriculum_d,max_step_size
151.133964,2,1.102846,True,0.01391426008194685,0.6075243949890137,0.6075243949890137,1.0,1000
158.260076,6,1.505053,True,0.00956658087670803,1.171363115310669,1.171363115310669,1.0,1000
154.085039,2,1.630261,True,0.013217193074524403,0.34623977541923523,0.34623977541923523,1.0,1000
159.15109,7,1.800903,True,0.01158134639263153,1.226383924484253,2.1467015743255615,1.0,1000
155.726551,2,1.882857,True,0.01510681677609682,0.4375806152820587,2.038496732711792,1.0,1000
145.076394,6,2.12996,True,0.013086584396660328,1.7479466199874878,2.4715847969055176,1.0,1000
155.492453,3,2.304564,True,0.006109518930315971,1.6160697937011719,1.6160697937011719,1.0,1000
167.359137,3,2.396205,True,0.015982240438461304,0.6414888501167297,0.6414888501167297,1.0,1000
161.942176,4,2.514643,True,0.01733720302581787,1.765370488166809,2.1035070419311523,1.0,1000
141.486177,7,2.654918,True,0.005348048638552427,2.1405298709869385,2.750920057296753,1.0,1000
168.012323,3,2.733405,True,0.01853540912270546,0.9670810699462891,2.3866634368896484,1.0,1000
125.521941,481,8.905039,True,0.019502660259604454,2.431497812271118,2.431497812271118,1.0,1000
-38.543433,1000,21.856579,False,0.184116929769516,1.586212396621704,1.586212396621704,1.0,1000
170.372982,3,21.935703,True,0.019214101135730743,1.074514389038086,2.276686191558838,1.0,1000
179.213899,5,22.038532,True,0.014848544262349606,1.8902338743209839,2.2172048091888428,1.0,1000
165.962815,2,22.106806,True,0.008389746770262718,0.3357858657836914,2.3103556632995605,1.0,1000
163.501179,14,22.303967,True,0.019904855638742447,1.6138980388641357,2.247389554977417,1.0,1000
156.11181,3,22.381826,True,0.01880003698170185,1.1226234436035156,1.1226234436035156,1.0,1000
159.936735,7,22.509171,True,0.019425932317972183,2.329831600189209,3.1146240234375,1.0,1000
157.467848,6,22.618571,True,0.008582082577049732,2.1383984088897705,2.1383984088897705,1.0,1000
137.201307,10,22.77643,True,0.01912626624107361,2.2910218238830566,2.741708993911743,1.0,1000
154.527095,7,22.897572,True,0.018910063430666924,2.4884164333343506,2.6466801166534424,1.0,1000
145.372523,16,23.109629,True,0.015059803612530231,2.2741453647613525,2.2741453647613525,1.0,1000
155.374679,7,23.236011,True,0.015741553157567978,1.8782501220703125,1.8782501220703125,1.0,1000
144.222851,17,23.4755,True,0.018983179703354836,2.614370584487915,2.614370584487915,1.0,1000
142.18227,10,23.630111,True,0.010492071509361267,2.235300302505493,2.4728026390075684,1.0,1000
157.933906,6,23.739127,True,0.010446891188621521,2.5282435417175293,2.5282435417175293,1.0,1000
153.332418,20,24.011629,True,0.015198749490082264,2.4320735931396484,2.4320735931396484,1.0,1000
157.031223,70,24.797464,True,0.019564032554626465,2.054051160812378,2.272336483001709,1.0,1000
157.854937,3,24.878102,True,0.011292645707726479,1.162646770477295,2.846250295639038,1.0,1000
150.925987,11,25.050348,True,0.007831607945263386,1.8478960990905762,2.2172253131866455,1.0,1000
134.604985,19,25.487244,True,0.01281024795025587,2.4169814586639404,2.6049845218658447,1.0,1000
173.33354,10,25.67785,True,0.01908441074192524,1.827060580253601,2.4868581295013428,1.0,1000
147.466863,20,25.995064,True,0.014582430943846703,2.6240549087524414,3.1137640476226807,1.0,1000
160.324952,3,26.089329,True,0.006320110522210598,1.5865169763565063,1.5865169763565063,1.0,1000
158.558052,6,26.214854,True,0.015644093975424767,0.9530839920043945,2.6197426319122314,1.0,1000
149.924822,1,26.276227,True,0.01560509018599987,0.7196572422981262,2.758876085281372,1.0,1000
160.499378,11,26.619298,True,0.015481372363865376,2.5893659591674805,2.907653331756592,1.0,1000
168.374325,6,26.772347,True,0.014560633338987827,1.3036712408065796,1.3036712408065796,1.0,1000
162.093983,6,26.887447,True,0.013506857678294182,1.9015430212020874,2.05568790435791,1.0,1000
-66.390413,1000,38.677393,False,0.2240620106458664,2.276512384414673,2.276512384414673,1.0,1000
155.934044,9,38.823857,True,0.012302789837121964,2.755859375,2.9321272373199463,1.0,1000
130.080233,11,38.99094,True,0.011126706376671791,2.5508527755737305,2.5508527755737305,1.0,1000
153.003187,12,39.181927,True,0.01973603293299675,2.446688413619995,3.057863473892212,1.0,1000
153.131676,17,39.423039,True,0.014832760207355022,2.4823055267333984,2.4823055267333984,1.0,1000
165.627939,13,39.626376,True,0.009361037984490395,2.7015998363494873,2.7015998363494873,1.0,1000
163.732825,9,39.771966,True,0.010218091309070587,2.014155149459839,2.9349019527435303,1.0,1000
152.069103,4,39.862521,True,0.017434021458029747,1.542590618133545,1.542590618133545,1.0,1000
164.905757,8,39.996737,True,0.014687420800328255,1.0044478178024292,1.3336002826690674,1.0,1000
170.087953,7,40.117877,True,0.008571603335440159,1.0469613075256348,2.055091619491577,1.0,1000
158.710236,12,40.282297,True,0.015913354232907295,2.6835036277770996,2.6835036277770996,1.0,1000
144.752514,6,40.39264,True,0.011373238638043404,2.468623638153076,2.468623638153076,1.0,1000
150.060868,12,40.563705,True,0.01661476492881775,2.0769593715667725,2.0769593715667725,1.0,1000
147.766725,12,40.74255,True,0.010856394656002522,1.9013880491256714,2.1036794185638428,1.0,1000
143.659902,12,40.926491,True,0.01864517293870449,2.4045348167419434,2.9636688232421875,1.0,1000
